Label,Consumer price index - Base 2015 - All households - France - Services,Codes
2012-10-01,95.8,A
2012-11-01,95.58,A
2012-12-01,96.22,A
2013-01-01,96.2,A
2013-02-01,96.42,A
2013-03-01,96.76,A
2013-04-01,96.59,A
2013-05-01,96.78,A
2013-06-01,97.0,A
2013-07-01,98.07,A
2013-08-01,98.26,A
2013-09-01,97.07,A
2013-10-01,97.14,A
2013-11-01,97.04,A
2013-12-01,97.57,A
2014-01-01,97.83,A
2014-02-01,98.25,A
2014-03-01,98.51,A
2014-04-01,98.5,A
2014-05-01,98.52,A
2014-06-01,98.76,A
2014-07-01,99.84,A
2014-08-01,100.11,A
2014-09-01,98.55,A
2014-10-01,98.64,A
2014-11-01,98.53,A
2014-12-01,99.14,A
2015-01-01,99.09,A
2015-02-01,99.53,A
2015-03-01,99.57,A
2015-04-01,99.7,A
2015-05-01,99.79,A
2015-06-01,100.04,A
2015-07-01,101.22,A
2015-08-01,101.41,A
2015-09-01,99.81,A
2015-10-01,99.87,A
2015-11-01,99.68,A
2015-12-01,100.28,A
2016-01-01,100.15,A
2016-02-01,100.31,A
2016-03-01,100.43,A
2016-04-01,100.67,A
2016-05-01,100.77,A
2016-06-01,101.06,A
2016-07-01,102.04,A
2016-08-01,102.17,A
2016-09-01,101.01,A
2016-10-01,100.89,A
2016-11-01,100.71,A
2016-12-01,101.16,A
2017-01-01,101.07,A
2017-02-01,101.37,A
2017-03-01,101.49,A
2017-04-01,101.68,A
2017-05-01,101.72,A
2017-06-01,101.99,A
2017-07-01,103.06,A
2017-08-01,103.35,A
2017-09-01,102.05,A
2017-10-01,101.87,A
2017-11-01,101.75,A
2017-12-01,102.22,A
2018-01-01,102.38,A
2018-02-01,102.5,A
2018-03-01,102.95,A
2018-04-01,103.08,A
2018-05-01,103.23,A
2018-06-01,103.18,A
2018-07-01,104.36,A
2018-08-01,104.7,A
2018-09-01,103.14,A
2018-10-01,103.09,A
2018-11-01,102.8,A
2018-12-01,103.17,A
2019-01-01,103.37,A
2019-02-01,103.39,A
2019-03-01,103.58,A
2019-04-01,104.07,A
2019-05-01,103.85,A
2019-06-01,104.37,A
2019-07-01,105.46,A
2019-08-01,105.83,A
2019-09-01,104.41,A
2019-10-01,104.33,A
2019-11-01,104.14,A
2019-12-01,104.63,A
2020-01-01,104.67,A
2020-02-01,104.88,A
2020-03-01,104.67,A
2020-04-01,104.65,A
2020-05-01,105.12,A
2020-06-01,105.47,A
2020-07-01,106.42,A
2020-08-01,106.73,A
2020-09-01,105.08,A
2020-10-01,104.72,A
2020-11-01,104.84,A
2020-12-01,105.39,A
2021-01-01,105.51,A
2021-02-01,105.69,A
2021-03-01,105.79,A
2021-04-01,105.89,A
2021-05-01,106.23,A
2021-06-01,106.36,A
2021-07-01,107.08,A
2021-08-01,107.47,A
2021-09-01,106.57,A
2021-10-01,106.57,A
2021-11-01,106.83,A
2021-12-01,107.26,A
2022-01-01,107.57,A
2022-02-01,108.06,A
2022-03-01,108.27,A
2022-04-01,109.03,A
2022-05-01,109.58,A
2022-06-01,109.86,A
2022-07-01,111.3,A
2022-08-01,111.61,A
2022-09-01,109.94,A
2022-10-01,109.92,A
2022-11-01,110.02,A
2022-12-01,110.36,P
